description,claimType
M&H Engineering ascertained there was a major leak of water amounting to 1500 litres per 24 hours.,ESCAPEWATER
Unfortunately our dog suffered a succession of severe nose bleeds on our bedroom carpet and despite our best efforts to clear up the mess we've been unable to do this ,ADCONTENTS
Water leak creating a damage through 2 floors and condensation resulting in damage to wood floors paint ,ESCAPEWATER
Water leaked down side of bath damaging ceiling and walls downstairs below bathroom,ESCAPEWATER
"During the recent storms and adverse weather we experienced excessively high winds which resulted in heavy damage to (and in one case complete removal of) the roofs on 2 of our outbuildings, namely the barn and the general store.",STORM
"there appears to be water ingress in the middle of my lounge floor - a  wet patch has appeared on the carpet. I have no idea where it's coming from, it doesn't appear to be near any pipes/windows etc.",OTHER
I want to speak with the legal service as part of my legal cover.I would like some advice over the phone ,OTHER
"the hot water cylinder has failed, leading to water escaping down through the ceiling, leading to flooding in the kitchen",ESCAPEWATER
"a theft of a locked, unspecified bicycle from a public place",THEFTSPECIFIED
I have a blocked toilet and my freezer has defrosted all the food content because it's not working. Can you please unblock toilet and repair the freezer.,FREEZER
I have a blocked toilet down stairs and the toiler upstairs is blocked but flashes a little sometimes.  Can you please unblock toilets. ,BLOCKEDDRAINS
The ceiling in my living room has collapsed due to a leak on a pipe that feeds the toilet cystern.,ESCAPEWATER
I have been burgled. It happened between 6.30pm and 7.00pm.,BURGLARY
I returned from holiday to discover my house had been broken into and ransacked,BURGLARY
water temperature fluctuating between scalding hot and freezing cold.,BOILER
I noted water damage to the kitchen ceiling and investigation showed this was caused by an escape of water from the supply pipe to the bath tap in the bathroom above,ESCAPEWATER
Water infiltrating the floor of our basement and signs of mould smell and dampness due to a failure of the damp proofing system in place ,OTHER
I noticed a drip coming from a boiler pipe. The floor was wet. ,ESCAPEWATER
MY WIFE HAS LOST A HEARING AID (LHS),LOSSSPECIFIED
"We had a toilet blockage, resulting in us calling Yorkshire water out to investigate. They found that our sewer pipe was damaged. We had an independent drain company come out to investigate on Mon 14/11/22 who confirmed the same as Yorkshire water and suggested we get in touch with you. It cannot be replaced without digging underground and the area is extremely close to the property.",BLOCKEDDRAINS
"Break in and vandalism. Back door to property kicked in. Paint and bleach thrown on upstairs walls and windows (2 bedrooms, bathroom, landing and stairs)",VANDALISM
"I went into the downstairs toilet and there seems to be a leak from the ceiling. What’s leaking can only be described as a poo-ey and pee-ey smelling brownish liquid. It stinks. Wondering if we can claim on this so it can be repaired asap. We have an 11 month old now who loves to go everywhere, including the downstairs toilet. I’m selecting leaking plumbing below but I’m no expert and not certain this is the case of course. Would love to discuss with someone. ",ESCAPEWATER
"Outside drain blocked filled with mud and sand, had absolute drainage out to attempt to fix the issue but after jetting there seems to be more of an issue. Potentially broken pipe.",BLOCKEDDRAINS
Water has leaked inside a kitchen column leaving  parts of the wall puffy and black,ESCAPEWATER
Leaky roof has resulted in damp rooms which are getting worse now the weather is changing!,STORM
Attempted burgulars in early hours of 15/11/22 burgulars kicked in panels of wooden front door,BURGLARY
in bad weather there has been a leak between the top of the double patio doors on the ground floor and the ceiling that has also cause fuses to blow in the electrics leaving us with no heating or hot water or electric in certain rooms,STORM
"recent storms and heavy rain have caused damage to our flat roof. Water is leaking into our kitchen, and there is visible water damage to the paint & plastering around the skylights",STORM
Water coming through the ceiling of a bedroom which is coming from a leak from the roof in the attic caused by stormy rain,STORM
Upstairs bathroom plumbing leak causing damage beneath to downstairs ceiling and walls ,ESCAPEWATER
"Internal stair wall is damp/wet, with blown plaster and paint blistering this has spread through into a landing cupboard and down into the kitchen. I have selected blockage of drain on the drop down menu but this is a mistake as I am unsure of what is causing the problem.",STORM
There is a-lot of water coming into my house when it rains heavily,STORM
Roof has started leaking and is draining down our light fittings. We bought the house this year and the previous owner had work done on the roof in 2021. There is still a guarantee on that work and I wanted to ensure that the damage was covered by our insurance. I have left a message for the roofers to come and investigate the issue and am awaiting their return call.,STORM
Damage caused by severe rainstorm - water ingress reached internal lower front right room and caused leakage/water damage to inner wall/roof. Leak started the night of 16/11/22 after a really heavy rainstorm. The house is no longer weatherproof.,STORM
Yesterday my kids broke my tv ,ADCONTENTS
"A water leak from pipe discovered. Wet/discoloured patch on play room ceiling, indicated water leak. Further investigation found a wet wall (in bedroom) behind the shower and carpet was wet. Pipe in wall  leaking. ",ESCAPEWATER
Escape of water from upstairs bathroom leaking through the kitchen roof,ESCAPEWATER
Roof on dormer damaged by recent bad weather.  Lining from roof has come off (see photo of lining now in the garden). Leaking sound could be heard within the property.,STORM
Storm damage to the roof. I have a leak which is coming in through the roof and leaking into the house ,STORM
House fire. Loss of all contents.,FIRE
Our TV has two black lines running down the screen and the colours are bleeding into each other.,ADSPECIFIED
The little room has been fluided with water as radiator has burst and boiler is leaking,ESCAPEWATER
The pipe has centre heating pipe has bursted and water has leaked everwhere all carpet and bed is shocking wet,BURSTPIPE
a mains water pipe in the kitchen is leaking,ESCAPEWATER
The house has not been occupied since the end of August. When we arrived yesterday we found that there has been a leak and part of the landing ceiling has fallen through. ,STORM
Dropped a pumice stone inside the free standing bath. It has caused a chip and a large crack ,ADCONTENTS
Boiler is not working no hot water or heating.  Worcester greenstar gas fired condensing boiler. ,BOILER
The diamond fell out of my engagement ring,ADSPECIFIED
Heating pipe under the floor has started leaking,ESCAPEWATER
"From what I can see the felt roof has been damaged from a falling branch, I have just noticed water dripping through the ceiling in my out building. I have looked up on the roof and it seems the wood is wet under the felt as well. The ceiling inside is fine at the moment but need this repaired before it gets worse.",STORM
Swimming pool sinking and bowing sides. ,OTHER
Mr watkinson was held at knife point and his necklace  was stolen,THEFTSPECIFIED
Heavy rain caused land slip earth moved down the slope taking support structures and fencecwith it on to garden now huge risk of a larger slide which will damage house,LANDSLIP
Damage to carpet from dog vomit,ADCONTENTS
Blocked drain needs sorting to the front of property,BLOCKEDDRAINS
Due to heavy winds and heavy rain fall water my roof has been damaged and water has leaked through and now water damage in upstairs front room.,STORM
"Flooding causing damage to driveway, bridge and pond",FLOOD
Our water tank is leaking which means the water pressure is dropping and not providing enough water to the boiler. ,ESCAPEWATER
Subsidence to back patio door and walls. Paving tiles have a gap to show where there is movement. The patio door has become difficult to close and secure. ,SUBSIDENCE
A screw snapped on the wall unit in the bathroom. The cabinet fell and breaking the cabinet and the sink.,ADBUILDINGS
"water damage to downstairs hallway and study flooring due to blockage in external drain which with the heavy rains on 17-18 Nov caused water to back up and overflow into the downstairs wetroom via the shower drain.  Water spread from bathroom into hall and wider downstairs area causing damage to hard wood parquet flooring in hallway and carpet  and underlay in study,. The parquet flooring has swollen, warped and lifted from the floor in several places. ",STORM
Upstairs toilet is blocked and is backing up into the bath,BLOCKEDDRAINS
I dropped my Macbook and now the screen isn't working properly,ADCONTENTS
boiler has stopped working i have looked into the error it says it might be a sensor error. This is for home emergency claim  ,BOILER
builder not fixing snagging inc roof issues,OTHER
Water damage from possible leak to bedroom ceiling,STORM
"A bad smell is eminating from my downstairs toilet/shower room,there are no visible leaks and I think  it’s possibly from a leak below the floor.It was apparent a few days ago and has got worse",ESCAPEWATER
"Just turn on the thermostat but no response, no heating at all",BOILER
Looked down at my engagement ring and my diamond has come out of the ring mount.  I cannot find the diamond.  It was there this morning and I have not left the house but cannot find it. ,ADSPECIFIED
"Chest freezer, which is full of food, including a Christmas delivery received Friday 19/11/22, stopped working.  A new freezer cannot be delivered until Wednesday 23/11/22, so food will no longer be edible by then.  Photo will not load.",FREEZER
Storm damage. Rainwater coming through roof into attic.,STORM
Leak in bathroom from toilet. Causing damp to wall,ESCAPEWATER
water leak from bathroom has caused damage to part of the kitchen ceiling and wall. ,ESCAPEWATER
"I need someone to come and open the block toilet, my disable syster is using this toile",BLOCKEDDRAINS
radiator leak first floor bedroom substantial damage first floor bedroom and living room,ESCAPEWATER
We have water leaking from a pipe that needs repairing,ESCAPEWATER
The house has been broken into,BURGLARY
My boiler has a fault its a baxi and keeps displaying error code 59 60 and radiators only heat up when we restart the boiler,BOILER
Leak from bathroom through kitchen ceiling,ESCAPEWATER
"We have had 4 large tiles blown off our roof which has now left the roof open to leaks. In turn, these 4 tiles have landed on our vehicle that was parked on our driveway below, causing substantial damage to the vehicle roof, and various body panels",STORM
I sat normally and gently on my sofa and the frame or the mesh to hold the seat underneath has suddenly split.,ADCONTENTS
we have no hot water and a 10 Month old bad so need urgant repairs ,BOILER
Water coming into the back bedroom from leak in the roof,STORM
My gas boiler is losing water pressure. I may has a leak somewhere in my house. Can someone come and locate the cause of the pressure loss?,BOILER
"Boiler has stopped working, we have no heating",BOILER
Leak in the bathroom somewhere,ESCAPEWATER
"my house was broken into whilst I was away, CID and SOC have attended. One window broken to gain access, alarm activated and several personal items were taken.",BURGLARY
that the engagement ring specified in our insurance has been lost and despite thorough searches has not been found,LOSSSPECIFIED
"storm damage, ridge tile blown off by gust of strong wind in the night",STORM
Washing machine make noise will be can big damage ,OTHER
"Water has entered the underside of the house, causing the electrics to short circuit.  The kitchen sockets are only partially working and the adjoining room has no power.",FLOOD
24 Carat Belcher Bracelet with diamonds,LOSSSPECIFIED
Somebody vandalized my property by knocking over the side fence which leaves the property open and vulnerable ,VANDALISM
"damage was occasioned to my property forming and known as 14 Ardveenish, Isle of Barra on or about 20 November 2022. The damage is believed to have been caused by a Ram which acted aggressively.",IMPACT
lemon juice leaked from a bottle in a kitchen cupboard and has bleached/ faded the floor tiles beneath,ADBUILDINGS
"It rained really heavy today, and water has came through my daughters bedroom ceiling downstairs (she’s disabled) and also all through the garage at the back of the house. It’s from the roof and not from under any doors ",STORM
My iphone 13 pro fell off the dining table and cracked the back glass,ADSPECIFIED
Leak from skylight/ceiling in kitchen from flat roof. Ceiling has a metre long crack and water leaking out of it. ,STORM
water was poured on it and it doesn't turn on anymore,ADCONTENTS
The only toilet in the house has stopped working,OTHER
Water ingress to my property due to neighbour incorrectly fitting new guttering.  This has caused my boiler to stop working as well as some electrics in the kitchen.  There may also be issues with plastering / structure.,OTHER
Sewage blocked and flooded my drive way and into my garage causing damage to the stuff in there Yorkshire water have been out to clear the blockage and have sent a third party to try and clean the mess up which is when we have seen the damage it has caused ,BLOCKEDDRAINS
"There is water coming through our ceiling in our downstairs bathroom which is close to where our boiler is installed, which we only had put in a few months ago. ",ESCAPEWATER
"water dripping into house through ceiling, running down inside wall",STORM
"Food waste due to broken down freezer. I am having issues uploading photos, please help.",FREEZER
"Theft of a computer part, graphics card EVGA  RTX 3080 FTW3 ULTRA worth £750 from my house at 11:45. Thief entered my house and pretended to be interested in buy the item from me but decided to steal it and drove off without paying. Incident has been also reported to the police. Case number: 222 from 25/11/2022. ",THEFTSPECIFIED
"Scooter stolen, worth £499 - £599. This is a theft of a non-specified item (bicycle or sports equipment) from Stoke on Trent train station during the day. I have reported it to British Transport police and am awaiting a crime number. There is cctv in the train station. ",THEFTSPECIFIED
Home emergency no electric with vulnerable people in the house ,WIRINGFAULT
Water damage to brickwork in the conservatory from rain,STORM
Tv was knocked when rearranging room for carpets,ADCONTENTS
My wife was out shopping with her diamond earrings on when she noticed that one of her earrings was missing and she went back to the shops where she had been looking for it but no joy.,LOSSSPECIFIED
"Boiler leaking and no heating in the house, worried as I have children under 3 living there ",BOILER
Bike stolen. Trek Domane Road Bike,THEFTSPECIFIED
Our roof has been leaking from near an old flue. ,OTHER
Flood in bathroom upstairs during the night.  Bathroom floor tiles lifting and dated. Water flooded through floor into kitchen. Damaged hall and dining room carpet.,ESCAPEWATER
Our Greenstar RI boiler is not working - there is gas going to in. The blue light is on. All the red lights on the control system are working. No green light on the on dial. So no heating ,BOILER
"Water is coming in through the roof on the back bedroom, after heavy rains last night.",STORM
Roof started to leak concerns on more damage ,STORM
Shower door will no longer close. Possibly hinge broken,ADBUILDINGS
iPad Pro dropped resulting in diagonal crack across screen (still functioning),ADCONTENTS
Water Damage to the ceiling of the top floor bedroom (Attic space). There is obvious water marks on the ceiling and part of it is starting to sag and crack. It only became noticeable after the heavy rains during the week starting 21st Nov 2022 ,STORM
"My bicycle got stolen from outside my flat door, but inside the building.",THEFTSPECIFIED
water leak under floorboard above dining room.  Dining room celling very wet and about to collapse.,ESCAPEWATER
"Smashed patio door. The same youths who have repeatedly targeted the property have gained access to the back and thrown a rock through the patio door. We have installed various new security systems, indoor/outdoor cameras, security lights front and back. ",VANDALISM
Water leaking through ceiling and lights and sockets icant find the emergency helpline please call me asap,ESCAPEWATER
"the living room, hallway ceilings are leaking water along with the kitchen ceiling",ESCAPEWATER
water coming out of the roof/wall in correspondence of the water pipes,ESCAPEWATER
The kitchen tap was leaking and the kitchen basin was also to be replaced. The kitchen sink had a significant amount of glue and mastic holding it in place. Whilst in the process of removing the sink the worktop laminate and sink was damaged.,ADBUILDINGS
"Whilst cleaning out the gutters on my house I slid off the ladder and fell to the ground, Putting my hand out (normal instinct) I have hit the kerb/stone and the face of my watch just shattered. and is in bits. This is the Exospace B55 Connected VB5510  ",ADSPECIFIED
a big plumbing leak and a problem with my central heating ,ESCAPEWATER
Blocked toilet in the loft leading to water leaking onto first floor,BLOCKEDDRAINS
the rain soak away drain is blocked,BLOCKEDDRAINS
"burst pipe, no hot water or heating, flooding from ceiling, no lighting in kitchen due to water increase into ceiling wiring, water damage on wall,",BURSTPIPE
My wife caught her wedding ring on something which caused it to bend.,ADSPECIFIED
A precious diamond necklace has been lost on Saturday the 26/11/22,LOSSSPECIFIED
the television was accidently broken,ADCONTENTS
That the freezer has stopped working. ,FREEZER
Escape of water from bathroom from 2nd floor to first floor dining room,ESCAPEWATER
leak from en-suite bathroom (suspect toilet) water coming through ceiling in lounge below en-suite,ESCAPEWATER
Rotten joists caused by a water leak beneath the shower tray,ESCAPEWATER
"Subsidence happened on my  conservatory 6 years ago this was resolved and I have a certificate of structural adequacy, but recently have noticed the cracks reappearing and need this looked into please, I have contacted Crawford who felt with the claim originally but they told me I have to contact insurance provider thanks ",SUBSIDENCE
"I noticed the watch stopped working, changed the battery and noticed a small metal piece broken off from inside the watch which stops the back of the watch from going back on",ADSPECIFIED
I have lost one of the diamonds out of my diamond and white gold ring. I noticed it whilst at work and informed two other staff members. We looked but could not find it as I work in a department store. I took the ring to a local working jewellers and they told me the claws had come loose so that’s why the diamond had come free. They also provided me with an estimate for repair. ,ADSPECIFIED
"Dog had smashed a glass over with liquid and went on my laptop, laptop can not be repaired as it has damaged the motherboard ",ADCONTENTS
There is a leak from the boiler ,ESCAPEWATER
While  putting  cables in the back of my tv I moved the tv out from the wall put all the cables in and now the tv won’t turn on again and has no power. I have checked everything I can. including changing batterie’s and a new remote and changed fuse in the plug but still no power. ,ADCONTENTS
We have had a electricity bust around the house ,WIRINGFAULT
Lost Platinum ring.  Searched for over a week but cannot find it,LOSSSPECIFIED
Rear retaining garden wall partially collapsed due to excessive rain and storms,STORM
"I was wearing my diamond tennis bracelet and later realised that it was missing from my wrist. I re-traced my steps, asked around the venue I was in and I have spent the last 10 days searching for it around my home but I am sad to say I have been unable to find it.",LOSSSPECIFIED
I stepped on my bathroom tiles and notice water coming up from underneath them,ESCAPEWATER
My personal belongings have been stolen from a vehicle ,THEFTSPECIFIED
"My mac book damaged accidently, possibly just the display..",ADCONTENTS
Cycled into the back of a skip lorry causing irreparable damage to bike giant defy 0,ADSPECIFIED
TV was damaged when we decorated the lounge,ADCONTENTS
a leak (dripping water) has appeared in the main bathroom ceiling beneath the master bedroom ensuite,ESCAPEWATER
Thames Water contacted us to say we have a leak and that we have 36 litres per hour of water running through our water meter. They came to check it and told us the leak is internal. ,ESCAPEWATER
Accidental damage to MacBook Air occurred whilst on a train - milk was spilt on keyboard whilst pouring milk into coffee when train jolted from side to side.,LOSSSPECIFIED
"When I came downstairs, my boiler was leaking water all over my kitchen. I called our plumber who could only come out today 01/12/22 he confirmed that the boiler is irreparable.  I can provide you with our service certificate from when the boiler was serviced in January. The boiler is continuing to leak and we need to replace it as soon as we can. ",BOILER
Whilst putting up the Christmas tree the centre pole from the tree fell and hit the tv damaging it.,ADCONTENTS
"Southern water were sorting out a house down the road and whilst blasting their pipes, it blew the seals on our pipes, causing raw sewage to spill out in the kitchen, downstairs toilet and kids garden",BLOCKEDDRAINS
Looking after step daughter with cerebral palsy I was running a bath and got distracted. Bath has overrun and damaged downstairs ceiling. ,ADBUILDINGS
"Weather damage to chimney and roof. Chimney has been repaired as it was dangerous but stil work required to replace hip, tiles and re bed line. ",STORM
"A brewer lorry delivering to Blaydon Cricket Ground was seen to crash into my garage, cracking stone from top to bottom pulling all guttering off and dislodged and broke the roof tiles and wood facia. I witnessed the incident and the driver admitted liability and gave me his details. I have photos but they wont upload onto this form. ",ADBUILDINGS
"Bike store broken into and parts of bike have been stolen. Both wheels, fork and shock ",BURGLARY
My  boiler (Vaillant ecotec pro) failed to come on this evening- showed F29. When I manually tried to reload a few times the heating came on but stopped again after 20minutes. The boiler is now displaying F28. ,BOILER
"We want to claim for damage to property and redecoration of bathroom and master bedroom. We noticed a leak in the bay window of the master bedroom after heavy rain and wind during the previous week. As it didn’t stop, we asked a builder to check the issue out. There are roof tiles missing since the storm and as a result the roof felting has been damaged leaving significant gaps at various sections of the roof. As a result you can see straight outside, that has allowed water to continuously leak through and has caused damp in several areas of the house. As well as damage to the walls and framework around the windows. We have been quoted £7495 by a builder and had a second opinion which quoted a little more. ",STORM
I spilt a glass of water over my laptop,ADSPECIFIED
I don't know what happened. We don't have any heating or hot water coming through.,BOILER
"A failed valve in a cistern has led to extensive water damage to walls, a ceiling and carpets",ESCAPEWATER
My boiler is not working properly as the hot water doesn't work. ,BOILER
"Dear Admin, Just would like to bring your kind attention that at my home fridge is keep tripping. It seems like fault in the fridge. kindly do needful to resolve the issue. Many Thanks.",WIRINGFAULT
"I was walking dogs down the field next to my home in Burnhead street earlier tonight and had gloves on. I took gloves off to pick up dog poop and I think I may have pulled ring off and not realised. I looked about path, grass, inside gloves but I can’t find it anywhere. ",LOSSSPECIFIED
My Fiance has lost her engagement ring today,LOSSSPECIFIED
We returned from work on the 3rd December and our TV was on the floor. When we picked it up we saw the screen had smashed as it had fallen on to  something,ADCONTENTS
Water leaking into room on first floor.  It does not seem to be coming from a pipe though as there is no pressure problem.  There has been recent building work going on opposite my house and it is since they have completed work at their end with pipework that water has started coming into the property.  ,ESCAPEWATER
"Car demolished Front sliding electric Gate, supporting wall and 6 foot fence attached please contact me as photos wont upload",IMPACT
Central heating pipe leak in kitchen under kitchen units,ESCAPEWATER
Patio window has been broken. Perhaps caused by a bird strike. ,ADBUILDINGS
toilet is leaking and water is coming from the pipe. It is the toilet for my disabled mother so requires assistance asap!,ESCAPEWATER
Vandals have again gained entry to my property by smashing a patio door window.,VANDALISM
a dispute with my employer giving rising to a clim for legal expenses,OTHER
"Black mould patches , damp/wet walls- I think it’s coming from the roof",STORM
My roof has a leak and water has seeped through to the internal ceiling.,STORM
stolen bike from outside of school,THEFTSPECIFIED
"kitchen and bathroom lights not working , main switch tripping again and again  ,spark comes from main switch when try to on ",WIRINGFAULT
"My car was broken into and my £1,500 Canada goose jacket was stolen from the car",BURGLARY
Gas leak found by gas engineer who came to install the cooker. No gas now as it has been cut off due to leak. No hot water/heating/gas at all. ,BOILER
my son parked his bike in the Cambridge Station Cycle Park (CCTV coverage it proudly claims...) with an Abus loc and a cable extension lock.  On his return it was stolen with the lock sawn through. ,THEFTSPECIFIED
There is water dripping from the two top valves (?) of the radiator in the living room.,ESCAPEWATER
"Burglary of house,  damage to my fence, gate and theft of multiple items",BURGLARY
Overflowing and blocked toilet waste drain ,BLOCKEDDRAINS
Leak in the loft roof noticed today ,STORM
Our Boiler pressure is suddenly 0 and there are black and blue flakes in the tap water.,BOILER
Boiler and radiator in the house,OTHER
"We have damp and in the bedroom and lounge, there is also visible water on the walls above the skirting boards in the corner of the lounge, spreading along the wall and the carpet in the corner of the lounge is damp",OTHER
Person crashed their car into the estate fencing surrounding our front garden,IMPACT
We had a report of a leak in the path of the driveway from affinity water. They are saying that there is a leak underneath the ground but we would like to ask if it is ok to use someone we know to sort it through the insurance or do we have to use the companies you use. They haven't sent us any pictures of this we just received a letter in the post ,ESCAPEWATER
A tile fell off the wall in the shower and it was discovered that there is a leak behind the shower ,ESCAPEWATER
"Noises began coming from the first floor bedroom, on inspection I realised these noises were coming from the radiator. I turned the boiler off and could then hear the sound of water. After dragging the furniture out I found water leaking from the radiator. I gathered a bowl to start collecting the water as I was home alone, the radiator then started exploding with water from one area which made collecting the water impossible. Once my husband arrived home he was able to turn the water off from the mains outside the property.   I have tried numerous times to submit this claim with and without photos. I am very disappointed there is no contact telephone number to call which would  especially affect the elderly. I have discussed this with the live chat as I have been un able to submit this claim. I was told I needed to submit firstly online which cannot be done  using a mobile.  ",BURSTPIPE
Leaking from roof in different areas. ,STORM
I entered the loft space yesterday to retrieve our christmas decorations. Once in the loft space i have noticed damaged to the felting of the roof and there was water in our storge boxes,OTHER
foster child ripped off my house number and smash the panel ,VANDALISM
we noticed the heating was off this morning. When checking the boiler the fault indicators show it is an issue with the ignition,BOILER
Last night building got broken into including my flat - stole laptop jewellery small antique bag and Chanel bag,BURGLARY
I was putting my daughter in her car seat and popped my phone on the roof of the car. I then accidentally drove off leaving it on the roof.  I realised within 2 minutes what I had done and went straight back. However my phone had already gone. I then was able to track my phone using my laptop and could see that someone had indeed taken it in those 2 minutes as I could see it had been moved. ,THEFTSPECIFIED
Front door lock and locking mechanism developed fault would not lock and could be opened from outside by pressing down the door handle. ,LOSTKEY
ceiling has water damage marks on it following a holiday away. I am not sure if its the roof tiles that have gone or the water tank has a leak. It is not dripping water.,STORM
On the 24th of November my daughter's phone (iPhone 11) was stolen from her bag at The Prince of Wales pub on Drury Lane in Covent Garden. She advised the Met Police straight after the event. The crime ref number is: 6572275/22.  ,THEFTSPECIFIED
Neighbours are in the process of building a house. Due to this it has caused my house to move. I have various cracks and floor movement from the foundation they dug. Have kept an eye on the cracks and they are getting worse over time. ,SUBSIDENCE
We came home from work & a pillar at the end of the patio had been tumbled over & knocked down onto the patio,IMPACT
that my neighbour informed me that my front door was open while I was away. It was in the morning at about 09:00. I would like  ,BURGLARY
"We have recently noticed various cracks across the property,which are various in sizes and getting worse.we attempted 4 times to upload the photos without a success ",SUBSIDENCE
a bicycle was stolen while away from the home,THEFTSPECIFIED
bath leaking in to living room,ESCAPEWATER
"My son tripped and fell into the TV, smashing the screen",ADCONTENTS
escape of water from dishwasher,ESCAPEWATER
"the walls upstairs and downstairs in the north west corner of the house have become very wet and are getting water damage. We are also at risk of black mould due to the severity of the leak. Seems to be coming from the roof, perhaps a broken tile.",STORM
Water leaking on front side of the property. Has caused damaged to internal bedroom wall and wall is soaking wet causing dampness. ,OTHER
Cleaning oven and broken no power ,ADCONTENTS
water marks appeared on the upper part of the wall in one of the bedrooms - as if water was dripping down from the edge of the roofdown the wall. I wonder if  there is a leak in  the roof. ,STORM
My carbon monoxide alarm went off. An emergency gas engineer came out last night and turned my gas off. It needs checking by an engineer before it can be switched back on. I have no hot water or heating currently. ,BOILER
Removing kitchen tiles found rotted chipboard underneath. When removing chipboard found rotten joists and a pool of water sitting under the floor. Still investigating source and currently taking up the rest of the kitchen floor to assess extent of damage and identify source,ESCAPEWATER
My neighbours property has flooded due to (we think) a burst pipe,BURSTPIPE
"Water from loft leaked inside and outside of property. Water damage on multiples walls, ceilings and floors across  rooms both upstairs and downstairs and into the mains electric fuseboard. ",BURSTPIPE
Roof tiles are missing and causing water to leak into storage area in loft on 3rd floor and bedroom closet in 2nd floor,STORM
There has been a leak in my son’s room with water running down the chimney breast. We are currently commencing work to get this addressed,STORM
loss of pressure in boiler so a boiler man was called who confirmed a crack inside the boiler which is not repairable,BOILER
My laptop fell on the floor and has broken,ADSPECIFIED
We came upstairs and found water on the floor of my sons bedroom. The water was coming through the wall via a small hole. We then tracked the leak up to the loft where the water was leaking from the roof into the loft. The amount of water was significant and appeared to be coming through the roof into the loft and then down the wall into his room. ,STORM
"A burst water pipe in my loft resulting in considerable damage to the bedrooms and ground floor rooms, and the electrical circuits are now inoperable. I have had to move out of the house and am currently staying at my son's house ",BURSTPIPE
Water had begun leaking into the main bedroom from the roofspace.  It seems to be coming from the main water tank which sits just above the room. There has been no rain,ESCAPEWATER
"My basement has started flooding with clean water so I think I have a burst pipe. Severn Trent water have already been out and confirmed it isn’t a main pipe or the fire service tap in the road so it will be one under my responsibility. It is running along the side of the house where the only thing I can think would be there would be a pipe for the kitchen sink which is on that side of the house. I can’t turn my external supply off for long enough to see if it stops as it is shared with next door. Water is consistently coming in and I am having to remove some of it to prevent it from getting worse so this should be classified as an emergency. This is the first time I have had to make a claim so could I ask the next steps please? Water is still coming in, the carpets and chip board are destroyed and it is starting to creep up the plasterboarded walls so only getting worse. Many Thanks ",BURSTPIPE
"unpleasant smell in kitchen, water not draining properly to external drain and audible leak from pipework under kitchen cabinetry",ESCAPEWATER
"Home emergency - I have come back from a weekend away and the boiler has broken down - the central heating/radiators are not working. I called and spoke to Valliant (our boiler manufacturer) they talked me through steps over the phone and concluded the issue was communication/connectivity between the thermostats and boiler. They advised to  get a expert out as quickly as possible given the temperature in the house . We require someone to be sent out as a matter of urgency to fix this issue, thank you. ",BOILER
Burst water pipe in loft damage to whole house,BURSTPIPE
"Door locks damaged while out of property, handle not working, locksmith called and gained access and replaced both locks and property safe.",LOSTKEY
"Needed a drain specialist for blocked pipes in bathroom. During this time when specialist was working, water came through several bits of living room ceiling causing water damage. Drain specialist now has to lift up large garden decking to access man hole pipe. Decking was put over man hole pipe before we bought house. ",BLOCKEDDRAINS
Burst sewage pipe in games room loft. from sewage pump ,BURSTPIPE
Pipe burst under the bath.  Kitchen ceiling badly damaged  below. ,BURSTPIPE
"Identified a wet wall in the first floor front bedroom. On further investigation, wall paper peeled off together with some plaster. I think it is water penetration from outside.",STORM
"Error code F29 seemingly low of flame? Heating is not working and it’s minus 4 outside, house temperature has plummeted. ",BOILER
Loss of house and garage keys ,LOSTKEY
Water leak on second floor down to first and ground floor,ESCAPEWATER
"Burst water pipe in loft. Completely flooded whole of the property. Causing damage to floors, ceiling and furnishings. ",BURSTPIPE
"Thames Water detected a leak on the property. In investing the leak on 28th of November they exposed the pipe from the concrete footings & effectively stopped the water supply to my house. In order to reinstate the water supply they had to drill a hole to fit a new pipe from the water meter outside my property & connect it to the existing supply pipe under my property. To get access to the pipe inside the house they needed to cut through real wood tongue & groove flooring & the floorboards underneath. That flooring is now compromised, potentially not structurally sound & my wooden floor has been damaged & needs replacing",ESCAPEWATER
Xbox fell from a table and now is not holding itself on.   The mac monitor was on this same table and also fell and the screen is now black.  ,ADCONTENTS
"we noticed water seeping through the back wall of our cellar, and that has continued until now. There is now approximately 2cm of water at the far end of the cellar and less at the front (the ground is slightly sloping). We do not know whether it is the result of recent rain, a burst pipe, or something else. Could you send someone to assess where that comes from? We will also need to have the water pumped out/ removed. It is causing damp, there is wiring in the cellar and it is a health hazard.",OTHER
I dropped my iPhone 13 and it smashed the LCD screen,ADSPECIFIED
"Burst Pipe In roof has caused substantial damage, caused ceilings in bathroom and kitchen have come down and the whole area is flooded and the electric has shorted out, all flooring is saturated. ",BURSTPIPE
"Leaking roof, water damage to top floor ceilings - resulting in cracking and loose plaster, mould etc",STORM
The area around the toilet is all wet and something must broken and leaking. It also doesn't smell to good,ESCAPEWATER
today morning our boiler is not working,BOILER
The boiler isn’t working properly I have boiler cover,BOILER
"Pipe had burst , neighbour heard the water escaping. She is the keyholder. When she checked water was running from the ceiling and the propety was flooded",BURSTPIPE
"Cracking appeared around patio door in lounge, lounge wall, kitchen back door, wall,  master bedroom wall and bathroom wall",SUBSIDENCE
This is a home emergency claim. Burst outside water pipe that leads to outside water tap.,BURSTPIPE
The sliding shower door screen to the en-suite cubicle exploded on opening ,ADBUILDINGS
"Burst Water pipe, water damage ",BURSTPIPE
